"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"20480","ICAM2","ITGAM",0.113311331133113,"T cells",0.0258620689655172,"SMCs","other"
"20505","ICAM2","ITGB2",0.113311331133113,"T cells",0.0258620689655172,"SMCs","other"
"16983","GNAI2","ADCY9",0.172413793103448,"NK cells",0.0169934640522876,"VECs","other"
"19765","HRAS","TLR2",0.0849673202614379,"VECs",0.0344827586206897,"SMCs","other"
"14576","FASLG","FAS",0.022002200220022,"T cells",0.133113311331133,"T cells","other"
"35053","SPP1","ITGA5",0.0099009900990099,"T cells",0.295424836601307,"VECs","other"
"22621","LAMA2","ITGA6",0.120689655172414,"SMCs",0.0242024202420242,"T cells","other"
"22946","LAMA5","ITGA6",0.120689655172414,"SMCs",0.0242024202420242,"T cells","other"
"230102","TNFSF14","LTBR",0.0242024202420242,"T cells",0.120689655172414,"SMCs","checkpoint"
"11259","DCN","EGFR",0.0252873563218391,"NK cells",0.115492957746479,"Fibroblasts","other"
"32501","SCGB3A1","MARCO",0.13971397139714,"T cells",0.0209020902090209,"T cells","other"
"366910","BMP4","BMPR1A",0.0647887323943662,"Fibroblasts",0.0450704225352113,"Fibroblasts","other"
"29148","PLAU","IGF2R",0.0603448275862069,"SMCs",0.0483660130718954,"VECs","other"
"9518","COL4A4","CD47",0.0112676056338028,"Fibroblasts",0.258823529411765,"VECs","other"
"38268","VTN","CD47",0.0112676056338028,"Fibroblasts",0.258823529411765,"VECs","other"
"220100","ADAM15","ITGA5",0.0422535211267606,"Fibroblasts",0.0689655172413793,"SMCs","other"
"17109","GNAI2","C5AR1",0.172413793103448,"NK cells",0.0169014084507042,"Fibroblasts","other"
"23167","LAMB1","ITGAV",0.253521126760563,"Fibroblasts",0.0114942528735632,"NK cells","other"
"51491","IL6","IL6R",0.103448275862069,"SMCs",0.028169014084507,"Fibroblasts","cytokine"
"28127","NUCB2","ERAP1",0.105610561056106,"T cells",0.0275862068965517,"NK cells","other"
"121010","ANGPT1","ITGB1",0.00229885057471264,"NK cells",1.26724137931034,"SMCs","other"
"8710","COL1A1","ITGB1",0.00229885057471264,"NK cells",1.26724137931034,"SMCs","other"
"9635","COL4A4","ITGB1",0.00229885057471264,"NK cells",1.26724137931034,"SMCs","other"
