gene,GSM3290067,GSM3290068,GSM3290069,GSM3290070,GSM3290075,GSM3290077,GSM3290082,GSM3290084,GSM3290099,GSM3290103,GSM3290105,GSM3290107,GSM3290108,GSM3290109,GSM3290113,GSM3290116,GSM3290126,GSM3290127,GSM3290129,GSM3290136,GSM3290138,GSM3290140,GSM3290143,GSM3290148
ANKRD32,4.7803083,5.243874,4.6997824,4.574438,4.7578382,4.7396708,4.6716536,4.6743938,4.9347026,4.8019674,4.7338156,4.8687492,4.8300872,6.0140264,5.1935936,4.534594,4.869035,4.7582172,4.691102,4.8059594,4.8355598,5.0543578,4.5509904,4.7632466
APOBEC3D,4.6471174,4.2435748,4.6487144,4.6221044,4.6328936,4.6797808,4.9481476,4.8676122,5.3115174,4.777661,4.3550564,4.524142,4.7675732,5.996682,5.1638408,5.0789228,4.6532886,4.6926092,4.6108112,4.7208794,4.8056396,4.7543878,4.8245644,4.9254858
ANXA2R,4.8724876,4.542926,4.4857874,4.6226222,4.6988616,4.6152926,5.1401394,4.7251126,5.268887,5.3042612,4.7039542,4.5475668,4.7972554,5.597971,4.7199486,4.5559092,4.9092562,4.73796,5.0509784,4.6022638,4.6221044,4.8963774,4.618977,4.8438538
SERTM1,5.2329222,4.717156,4.8929968,4.7630114,5.1039158,4.7115152,4.7187134,4.8300872,4.7287482,5.0984416,4.9240524,4.487055,4.8438538,4.266269,4.2715616,4.807235,4.5290962,4.6855202,5.0740162,4.835106,4.4843108,4.330163,5.289342,4.9176732
KLRC4,4.4918478,4.486012,4.9478666,4.1886144,3.9690404,5.5574176,5.0016032,4.9957906,7.3790626,5.1737802,4.6597584,4.3090744,5.045239,8.1266004,4.1057858,4.1809434,4.7613516,4.2311638,4.7019984,4.4413846,4.6336784,4.9138552,4.3347888,4.7506858
TRAF3IP3,4.7981206,4.7537284,4.6409676,4.3971634,4.3946586,4.4880952,4.8905302,4.5952234,6.0754834,5.2925704,4.450569,4.3046572,4.8101776,6.9432442,5.6236132,5.1293958,4.4332522,4.4689486,4.658222,4.5249072,4.5611246,4.5482982,4.5010673,4.9009778
ACTR5,4.6976336,4.4413846,4.8319662,4.6929802,4.6729678,4.6406496,4.5910262,4.7712366,4.7755584,4.5921108,4.3671326,4.7329816,4.8893006,4.9978442,5.1024804,4.7978782,4.6396122,4.6376606,4.787359,4.7613516,4.8192076,4.5426296,4.6589948,4.6134496
MATN3,4.5021052,5.2394922,4.2566816,4.3818734,4.7420432,4.7411772,4.7294004,5.1258584,4.5665932,4.9549554,5.0823194,5.3100946,4.584827,3.936591,4.2026692,4.1714098,5.3522882,4.302778,5.117452,4.6313548,4.8248634,4.821071,4.9271338,4.053991
TRAT1,4.4047868,4.7210926,4.6198644,4.8150138,4.4774948,4.8656922,4.774325,4.4215038,5.6122126,4.4294136,4.3982454,4.1710684,4.7000562,7.9824814,6.6192224,5.9577522,5.580924,4.5502816,4.524142,5.0978372,4.3668612,4.7102912,4.5132744,4.0803274
ZNF471,5.000609,4.9378498,4.7890914,4.7512262,4.7787498,4.7481556,4.8245644,4.6294456,4.5806676,4.9324884,4.6965396,4.7165266,4.9836604,4.5028884,4.3869222,4.6057182,4.6131442,4.772957,4.8075126,4.8177308,4.6675804,4.7000562,4.777661,5.1380356
FGD3,4.305742,4.703112,4.6370928,4.435772,4.4501078,4.7505346,4.9327728,4.7343924,5.1751,4.6110732,4.611837,4.3626868,4.962073,5.500339,4.7978782,4.6201032,4.6051338,4.6966587,4.5627342,4.4767308,4.6446208,4.457068,4.2850884,4.352321
TMC8,4.886732,4.8041006,4.951735,4.7394176,4.5726592,5.1272038,4.6192834,4.300206,5.1559272,4.504332,4.4279726,4.6131442,4.9779552,6.0486974,5.1919314,4.7024966,4.5872424,4.616431,4.5596168,4.4363148,4.4912145,4.6800124,4.5754884,4.766975
SFI1,4.3640588,4.5516586,4.7371168,4.7506858,4.6775368,4.4598168,4.8197215,4.732568,4.7290204,4.6727254,4.4598168,4.3798444,4.6519168,5.7205156,5.213412,4.9923288,4.6443784,4.6084622,4.772957,4.6982226,4.4656042,4.5962874,4.6229404,4.85497
TXK,4.5271258,5.1631592,5.3712602,4.3048806,4.246135,5.0980824,5.1785554,4.5158036,5.036221,4.7194188,4.5398944,4.4431764,4.7599048,6.2798492,5.683087,4.169285,4.4288026,4.8460522,4.856608,5.1642338,5.041839,4.8147422,4.3982454,4.299725
SASH3,4.5163624,4.5762356,4.9960786,4.8540826,4.7000562,4.7385218,4.6039844,4.1178334,5.2514627,4.3545152,4.3319006,4.5366464,4.6196058,5.5124422,4.7993402,4.7091998,4.3552732,4.3323964,4.5293662,4.456574,4.6156028,4.5316372,4.4686958,5.148518
KLHDC4,4.8924352,4.5183768,4.678125,4.7893706,4.900081,4.6179748,4.6902576,4.5276538,5.2940346,4.5770964,4.9577809,4.818067,4.976928,5.0980824,4.9582402,4.8820226,4.5297032,4.5665932,4.9179992,4.5482982,4.7585174,4.6136882,4.8274054,4.500427
FANCF,4.4256024,4.7540246,4.5804482,4.322573,4.4236686,4.5273938,4.5396218,4.5726592,4.7274974,4.4550578,4.2768632,4.4303366,4.622348,5.1477988,4.9753624,4.4882994,4.4164994,4.3105052,4.6900498,4.8469738,4.497532,4.8435678,4.8399662,4.966944
CD27,4.755164,4.6357636,4.4325696,4.9470492,4.3400994,3.9797484,4.8600046,4.3004286,5.6533906,4.2864854,4.4305564,4.2183814,5.4961764,6.967239,7.725905,5.8260988,4.3090744,4.393574,4.1439086,4.743265,4.2618792,4.5415218,4.1756514,5.0477952
IKZF3,4.3430994,4.0427498,4.2162856,4.7849137,4.2046392,5.1501354,4.5784622,4.1951126,5.7342422,4.553898,4.8124288,4.206486,4.9337432,7.34492,6.6757602,5.4270304,5.4273916,4.390578,4.3185678,4.299725,4.1726554,5.4687812,4.2393964,4.671877
ARSG,4.7142332,4.7546702,4.7439488,4.496189,4.726298,4.51501,4.2812936,4.5640748,5.1761262,4.5957166,4.5806676,4.6427278,4.5846406,5.3221342,4.880359,4.7076804,4.7222884,4.5273938,4.7747062,4.4734494,4.7036812,4.747896,4.6761154,4.785614
TDP1,4.4741986,4.4682504,4.774325,4.3461512,4.3592398,4.4125766,4.906611,4.907183,5.114131,4.6100082,4.609746,4.5719726,4.4006744,5.7848222,5.459954,4.8775858,4.5541572,4.582949,4.653588,4.5226242,4.5974338,4.848085,4.5878194,4.5290962
IGFLR1,4.65468,4.4920424,4.705373,4.7758438,4.6576308,4.5253892,4.591573,4.5459846,5.2710106,4.4517566,4.4587918,4.5256922,4.553898,4.9246416,4.9358042,5.0471354,4.6530214,4.4022588,4.5806676,4.4256024,4.4323142,4.6865478,4.7819626,4.501432
ZNF101,4.1960598,4.4724692,4.9851856,4.5001442,4.4968166,4.9254858,4.3267832,4.138135,4.8386758,4.8676122,4.4055052,4.5028884,4.8080524,6.54223,5.3780408,4.6052914,4.559051,4.5203094,4.5663512,4.5944664,4.749377,4.423875,4.5026632,4.5902856
THEMIS,4.506261,4.2881604,4.320834,4.3731126,4.6985464,4.8189132,4.572452,4.3087016,5.3671466,4.9576194,4.223507,3.9526,5.0612546,8.2146022,6.5599122,5.036221,4.8846096,4.0065096,4.6734796,4.7735466,4.2349546,5.063716,4.5536588,4.7024966
PRIM2,4.4885048,4.7906628,4.3809108,4.4468058,4.5613428,4.2724847,4.4852876,4.5035888,5.0164704,4.7491542,4.3860742,4.498111,4.5398944,4.8091274,4.6078822,4.5376212,4.4826974,4.5455078,4.5353348,4.636072,4.3393578,4.661606,4.4216372,4.5927296
GPRASP2,4.7322556,4.8328302,4.782951,4.8337474,4.5069732,4.2272858,4.780701,5.0269968,4.68709,4.9981968,4.6345624,4.6286524,4.58407,4.049245,4.2442198,4.6269382,4.5735998,4.7599048,5.1146956,4.5434126,4.2856918,4.6441258,4.5655596,4.5739118
RNF182,5.0678492,4.6299972,4.8472676,4.5132744,5.227276,4.2784632,4.7222884,4.631033,3.9531676,5.227543,4.3467924,4.776756,4.7723424,3.6940558,3.7663608,4.5285876,4.0668476,4.7867356,4.9318986,4.357843,4.6226222,4.2270354,4.462758,4.9455564
ZNF876P,4.2750956,4.952991,4.558296,4.6945686,4.9603644,4.729704,4.505488,4.9116366,4.5678514,4.7861728,4.7924296,4.6766362,4.384535,4.203813,4.3626868,4.5087186,4.6481326,4.5279216,5.0329834,4.976928,4.6067592,4.6028168,4.3410032,4.8154574
PSMB10,4.8201244,3.3834524,4.9741416,4.8960596,4.2530154,4.7864794,4.2087402,4.2904,5.6303474,4.3626868,4.691102,4.750905,4.7658268,5.157442,5.0378058,4.7161714,4.584827,4.4392394,4.7578382,4.313492,4.6077519,4.320834,4.652779,4.807235
TNFAIP8,4.858068,4.1005364,4.7819626,4.6126266,4.4873156,4.4587918,4.4234946,4.4311102,5.0036232,4.4493748,4.1565494,4.3550564,4.7208794,5.3081588,5.0070832,4.7566542,4.8963774,5.03098,4.4319212,4.6753988,4.7147306,4.6885318,4.5179282,4.4668344
FEZ1,4.4515108,4.1242582,4.5261568,4.6280234,4.9023362,4.509667,4.5625811,5.0804576,4.3574284,4.6441258,5.314233,4.4957894,4.3916592,3.8398098,4.150418,4.5012086,4.3833836,4.7627138,4.9265158,4.240198,4.609746,4.779053,4.4031452,4.9647604
MMP9,4.0091506,4.092834,4.5373794,5.1667602,4.0502736,4.4378682,3.917493,4.3046572,4.467558,3.913174,4.467558,4.1389626,3.9715124,6.085769,4.2467454,4.5431704,4.0125298,6.4033142,3.850753,4.1898768,4.8225056,4.4339272,3.7515648,3.4424234
RUNX3,4.5904972,4.3529848,4.7210926,4.5649626,4.5457512,4.8171086,4.6519168,4.8263,5.0351834,4.4031452,4.5188846,4.2127604,4.5155436,5.0775624,5.1709398,4.7176766,4.5638168,4.4653828,4.242106,4.3067476,4.3937868,4.231773,4.4609904,4.5316372
KLRAP1,4.2467454,4.7533888,4.5328316,4.2052462,4.40877,4.8628246,4.7239766,4.4605446,4.8383426,4.861542,4.2349546,4.190307,4.5021052,6.78846,5.0828766,4.0902106,4.4734494,4.3454644,4.8056396,4.160556,4.5596168,4.8846096,4.5689736,5.2384284
GSDMB,4.434825,4.2372222,4.2404044,4.6446208,4.6419978,4.1755666,5.0082844,4.7884438,4.8428118,5.4744804,4.3643934,4.372233,4.7678512,5.4910906,5.0823194,4.8624592,4.7718046,4.6201032,4.6100082,3.9676568,4.5866768,4.6900498,4.7587816,4.1766284
RNVU1-4,4.6198644,4.3557114,4.6738132,4.3398304,4.3744848,4.5806676,4.4279726,4.3699864,4.6707804,4.3714136,4.6357636,4.3339342,4.6432542,5.5610054,5.1563018,4.491601,4.8098908,4.5396218,4.4369372,4.7085684,4.4448124,4.2389654,4.363147,4.4647268
RHOH,4.0668476,3.6151264,4.3316934,4.9732114,4.41691,4.6746218,3.8516746,4.3039816,5.3995662,4.3029562,4.6681786,4.1774322,4.7058002,6.5086324,6.6015056,5.2797292,4.5729406,6.2450238,4.2325822,4.2560068,4.3612786,5.1006836,4.4038592,3.9883576
WDR5B,4.1973684,4.559368,4.233968,4.3633534,4.507953,4.3271156,4.1364228,4.3506186,4.677786,4.6138124,4.3398304,3.9527348,4.3164992,4.8080524,4.9926376,4.3259302,4.2808072,4.1789386,4.2672434,4.6761154,4.7165266,4.7256844,4.5455078,4.4243428
PYHIN1,4.4455036,4.5902856,4.5647358,4.2609878,4.4443598,4.378211,4.900344,4.3477808,6.2876644,4.5660594,4.143568,4.0828296,4.8364944,7.367895,5.7682906,4.8080524,4.8687492,4.0032878,4.72459,4.2538478,4.51116,4.2985298,3.9836906,4.8520222
ZBTB37,4.277294,4.6261658,4.4774948,4.3407548,4.645748,4.643544,4.3360098,4.2975214,4.6895608,4.5455078,4.2736594,4.3520778,4.481381,5.425564,4.5888892,4.3652155,4.4682504,4.4438858,4.7316314,4.5904972,4.166789,4.6729678,4.5391312,4.4438858
GRAP2,4.6357636,4.6660304,4.2387238,4.2094566,4.6740982,5.036221,4.3942102,4.3877764,5.8018852,4.79748,4.9360862,3.9338102,4.9035998,5.9540096,4.5434126,4.3978206,4.0009426,5.1919314,4.7524662,5.6656004,4.0189326,4.8596914,4.008199,4.2407754
CCR7,4.1878728,4.2052462,4.2226976,4.345007,4.3277796,4.1032264,4.345007,4.7575912,5.1675208,4.1708778,4.4332522,4.4802576,4.3808144,5.5671374,5.2301136,5.151683,4.4677744,4.4134754,4.3504114,4.1138274,4.4848634,4.5722114,4.105317,4.8585472
CD3D,5.0806146,4.2810024,5.0110868,4.3937868,4.3239645,4.616431,4.3876286,4.3419278,5.968913,4.5389186,4.726298,4.179733,4.8994618,7.4078828,5.4791884,4.5843958,4.346635,4.1471422,4.3502378,5.001917,4.0715192,5.0060976,4.0702862,4.1168566
B3GALT4,4.589144,4.6900498,4.8896668,4.4744338,4.454318,4.3145524,4.2808072,4.6538576,4.4216372,4.3385142,4.4077194,4.458557,4.4903492,5.1734194,4.5366464,4.3376248,4.3901324,4.3173782,4.3849848,4.6941513,4.2573624,4.3259302,4.357229,4.3687688
RASAL3,4.3810072,4.0621926,4.4653828,4.5531386,4.366394,4.530347,4.6560274,4.3219606,4.775261,4.365684,4.3084692,4.3862792,4.470924,6.0245116,4.8973316,4.627783,4.4622622,4.3918976,4.434825,4.1251166,4.6406496,4.4741986,4.1059752,4.127573
RN7SL288P,3.9900116,4.036922,4.4038592,4.387394,4.4637986,4.0828296,3.9855454,4.182372,4.9659704,4.2047571,3.9282936,3.8677988,4.4587918,4.9988348,4.8441748,4.7658268,4.3034875,3.7616504,4.7465586,4.4508084,4.5577162,4.419248,4.1778154,4.5139958
P2RY11,3.9608052,4.0710042,4.4682504,4.4600406,4.422561,4.3427138,4.424891,4.3540528,4.4953488,4.2989298,4.3281768,4.5295666,4.4522232,4.963902,4.7983706,4.4541048,4.4455036,4.4272302,4.497016,4.4110422,4.5462704,4.4308596,4.6651266,4.3567686
LOC100128751,4.4798284,4.173743,4.3969732,4.3822862,4.2963912,4.4482222,4.4972638,4.416688,4.9391034,4.520495,4.5457512,4.2459258,4.5273938,5.0031992,5.1076388,4.2558046,4.6251746,4.1631414,4.144668,4.2796034,4.5401634,4.4137386,4.4927854,4.4834302
TYW1B,4.4427496,4.390578,4.4453082,4.2413566,4.1872498,3.970397,4.366163,4.1219476,5.3225104,4.774325,4.0786992,4.8233179,4.29614,5.0105044,4.548003,4.3772984,4.2482226,4.5286957,4.4043688,4.30377,4.393574,4.4099446,4.4963374,4.7126896
KIF22,4.4330532,4.3398304,4.6232686,4.739097,4.4602818,4.344282,4.294712,4.4400036,4.8412384,4.3712066,4.2075958,4.4530536,4.6541448,5.0160728,4.7408726,4.54853,4.4829596,4.5230994,4.5160572,4.507953,4.4978148,4.6409676,4.395562,4.3697436
AMPD3,3.9632725,3.6745558,4.1669544,4.0976042,4.2971612,4.2028428,4.1229998,4.225479,4.3292594,4.2281616,4.1168566,4.373566,4.3490428,5.0101376,4.747896,4.5264116,3.9188406,4.1633636,4.1224406,4.269673,4.2538478,4.0960354,4.5784622,4.4882994
PASK,4.0454706,4.1926292,4.6954498,4.3173782,4.534091,4.4744338,4.1741396,4.4218864,4.726834,4.7423456,4.4385984,4.4774948,4.521783,4.990941,4.7359606,4.8540826,4.4586744,4.3648546,4.2991306,4.3249502,4.5579864,4.7205922,4.4580348,4.3133346
TRIM59,4.478796,4.4181148,4.2748974,4.2470078,4.4653828,4.691102,4.3107216,4.4637986,4.5673868,4.2800516,4.0826646,4.0378996,4.2554829,5.3032642,4.8836624,4.3489213,4.5229246,4.3864864,4.5146706,4.3074472,4.413205,4.4744338,4.3281768,4.8127294
SNAP47,4.4343706,4.4061592,4.3775116,4.366163,4.3603372,4.3297746,4.4934768,4.4993218,4.4605446,4.5470588,4.3510698,4.4677744,4.3877764,4.8450874,4.5502816,4.5802378,4.359048,4.3506186,4.4878462,4.4963374,4.4857874,4.3726972,4.5671438,4.4413846
RGS14,4.4714082,4.4736502,4.7404145,4.4211418,4.4218864,4.4815786,4.5652418,4.3303542,4.4677744,4.5544606,4.2453468,4.2170944,4.4978148,4.6729678,4.5290962,4.5488062,4.3586986,4.2723874,4.3219606,4.3753856,4.3642164,4.3872884,4.3518836,4.4330532
